Coral Type,Site,Year,Depletion Rate,latitude,longitude,Number of Records
Blue Corals,site01,2010,0.3978,-11.843,143.515,1
Blue Corals,site02,2010,,-18.937,147.898,1
Blue Corals,site03,2010,,-10.321,144.081,1
Blue Corals,site04,2010,0.2671,-20.414,150.444,1
Blue Corals,site05,2010,0.4919,-13.107,143.786,1
Blue Corals,site06,2010,0.1287,-17.981,146.589,1
Blue Corals,site07,2010,0.4599,-14.383,145.043,1
Blue Corals,site08,2010,,-16.091,145.715,1
Blue Corals,site01,2011,0.4025,-11.843,143.515,1
Blue Corals,site02,2011,,-18.937,147.898,1
Blue Corals,site03,2011,,-10.321,144.081,1
Blue Corals,site04,2011,0.2692,-20.414,150.444,1
Blue Corals,site05,2011,0.4967,-13.107,143.786,1
Blue Corals,site06,2011,0.1365,-17.981,146.589,1
Blue Corals,site07,2011,0.4678,-14.383,145.043,1
Blue Corals,site08,2011,,-16.091,145.715,1
Blue Corals,site01,2012,0.5037,-11.843,143.515,1
Blue Corals,site02,2012,,-18.937,147.898,1
Blue Corals,site03,2012,,-10.321,144.081,1
Blue Corals,site04,2012,0.2787,-20.414,150.444,1
Blue Corals,site05,2012,0.4987,-13.107,143.786,1
Blue Corals,site06,2012,0.1395,-17.981,146.589,1
Blue Corals,site07,2012,0.4567,-14.383,145.043,1
Blue Corals,site08,2012,,-16.091,145.715,1
Blue Corals,site01,2013,0.5198,-11.843,143.515,1
Blue Corals,site02,2013,0.1737,-18.937,147.898,1
Blue Corals,site03,2013,,-10.321,144.081,1
Blue Corals,site04,2013,0.2876,-20.414,150.444,1
Blue Corals,site05,2013,0.5002,-13.107,143.786,1
Blue Corals,site06,2013,0.1597,-17.981,146.589,1
Blue Corals,site07,2013,0.4696,-14.383,145.043,1
Blue Corals,site08,2013,0.3993,-16.091,145.715,1
Blue Corals,site01,2014,0.5898,-11.843,143.515,1
Blue Corals,site02,2014,0.1779,-18.937,147.898,1
Blue Corals,site03,2014,,-10.321,144.081,1
Blue Corals,site04,2014,0.2912,-20.414,150.444,1
Blue Corals,site05,2014,0.5012,-13.107,143.786,1
Blue Corals,site06,2014,0.1645,-17.981,146.589,1
Blue Corals,site07,2014,0.4732,-14.383,145.043,1
Blue Corals,site08,2014,0.4078,-16.091,145.715,1
Blue Corals,site01,2015,0.6213,-11.843,143.515,1
Blue Corals,site02,2015,0.1878,-18.937,147.898,1
Blue Corals,site03,2015,,-10.321,144.081,1
Blue Corals,site04,2015,0.3012,-20.414,150.444,1
Blue Corals,site05,2015,0.5123,-13.107,143.786,1
Blue Corals,site06,2015,0.1787,-17.981,146.589,1
Blue Corals,site07,2015,0.4812,-14.383,145.043,1
Blue Corals,site08,2015,0.4098,-16.091,145.715,1
Blue Corals,site01,2016,0.6561,-11.843,143.515,1
Blue Corals,site02,2016,0.2134,-18.937,147.898,1
Blue Corals,site03,2016,,-10.321,144.081,1
Blue Corals,site04,2016,0.3245,-20.414,150.444,1
Blue Corals,site05,2016,0.5623,-13.107,143.786,1
Blue Corals,site06,2016,0.1845,-17.981,146.589,1
Blue Corals,site07,2016,0.4889,-14.383,145.043,1
Blue Corals,site08,2016,0.4321,-16.091,145.715,1
Blue Corals,site01,2017,0.6823,-11.843,143.515,1
Blue Corals,site02,2017,0.2321,-18.937,147.898,1
Blue Corals,site03,2017,,-10.321,144.081,1
Blue Corals,site04,2017,0.37,-20.414,150.444,1
Blue Corals,site05,2017,0.5723,-13.107,143.786,1
Blue Corals,site06,2017,0.2056,-17.981,146.589,1
Blue Corals,site07,2017,0.4921,-14.383,145.043,1
Blue Corals,site08,2017,0.4532,-16.091,145.715,1
Blue Corals,site01,2010,,-11.843,143.515,1
Blue Corals,site02,2010,,-18.937,147.898,1
Blue Corals,site03,2010,,-10.321,144.081,1
Blue Corals,site04,2010,0.1595,-20.414,150.444,1
Blue Corals,site05,2010,,-13.107,143.786,1
Blue Corals,site06,2010,,-17.981,146.589,1
Blue Corals,site07,2010,,-14.383,145.043,1
Blue Corals,site08,2010,,-16.091,145.715,1
Hard Corals,site01,2011,0.1934,-11.843,143.515,1
Hard Corals,site02,2011,,-18.937,147.898,1
Hard Corals,site03,2011,,-10.321,144.081,1
Hard Corals,site04,2011,0.1597,-20.414,150.444,1
Hard Corals,site05,2011,,-13.107,143.786,1
Hard Corals,site06,2011,,-17.981,146.589,1
Hard Corals,site07,2011,0.1503,-14.383,145.043,1
Hard Corals,site08,2011,,-16.091,145.715,1
Hard Corals,site01,2012,0.2045,-11.843,143.515,1
Hard Corals,site02,2012,0.2482,-18.937,147.898,1
Hard Corals,site03,2012,0.1733,-10.321,144.081,1
Hard Corals,site04,2012,0.1689,-20.414,150.444,1
Hard Corals,site05,2012,,-13.107,143.786,1
Hard Corals,site06,2012,,-17.981,146.589,1
Hard Corals,site07,2012,0.1499,-14.383,145.043,1
Hard Corals,site08,2012,0.131,-16.091,145.715,1
Hard Corals,site01,2013,0.3998,-11.843,143.515,1
Hard Corals,site02,2013,0.2477,-18.937,147.898,1
Hard Corals,site03,2013,0.1765,-10.321,144.081,1
Hard Corals,site04,2013,0.1723,-20.414,150.444,1
Hard Corals,site05,2013,,-13.107,143.786,1
Hard Corals,site06,2013,,-17.981,146.589,1
Hard Corals,site07,2013,0.1545,-14.383,145.043,1
Hard Corals,site08,2013,0.1384,-16.091,145.715,1
Hard Corals,site01,2014,0.4078,-11.843,143.515,1
Hard Corals,site02,2014,0.2489,-18.937,147.898,1
Hard Corals,site03,2014,0.1844,-10.321,144.081,1
Hard Corals,site04,2014,0.2343,-20.414,150.444,1
Hard Corals,site05,2014,,-13.107,143.786,1
Hard Corals,site06,2014,,-17.981,146.589,1
Hard Corals,site07,2014,0.1689,-14.383,145.043,1
Hard Corals,site08,2014,0.1488,-16.091,145.715,1
Hard Corals,site01,2015,0.4099,-11.843,143.515,1
Hard Corals,site02,2015,0.2532,-18.937,147.898,1
Hard Corals,site03,2015,0.1834,-10.321,144.081,1
Hard Corals,site04,2015,0.328,-20.414,150.444,1
Hard Corals,site05,2015,,-13.107,143.786,1
Hard Corals,site06,2015,,-17.981,146.589,1
Hard Corals,site07,2015,0.1823,-14.383,145.043,1
Hard Corals,site08,2015,0.1456,-16.091,145.715,1
Hard Corals,site01,2016,0.4178,-11.843,143.515,1
Hard Corals,site02,2016,0.3012,-18.937,147.898,1
Hard Corals,site03,2016,0.3056,-10.321,144.081,1
Hard Corals,site04,2016,0.4023,-20.414,150.444,1
Hard Corals,site05,2016,,-13.107,143.786,1
Hard Corals,site06,2016,,-17.981,146.589,1
Hard Corals,site07,2016,0.2576,-14.383,145.043,1
Hard Corals,site08,2016,0.1556,-16.091,145.715,1
Hard Corals,site01,2017,0.4432,-11.843,143.515,1
Hard Corals,site02,2017,0.3489,-18.937,147.898,1
Hard Corals,site03,2017,0.7134,-10.321,144.081,1
Hard Corals,site04,2017,0.6798,-20.414,150.444,1
Hard Corals,site05,2017,,-13.107,143.786,1
Hard Corals,site06,2017,,-17.981,146.589,1
Hard Corals,site07,2017,0.3212,-14.383,145.043,1
Hard Corals,site08,2017,0.2045,-16.091,145.715,1
Sea Fans,site01,2010,0.3734,-11.843,143.515,1
Sea Fans,site02,2010,,-18.937,147.898,1
Sea Fans,site03,2010,,-10.321,144.081,1
Sea Fans,site04,2010,0.2278,-20.414,150.444,1
Sea Fans,site05,2010,0.3765,-13.107,143.786,1
Sea Fans,site06,2010,0.4021,-17.981,146.589,1
Sea Fans,site07,2010,,-14.383,145.043,1
Sea Fans,site08,2010,,-16.091,145.715,1
Sea Fans,site01,2011,0.3912,-11.843,143.515,1
Sea Fans,site02,2011,,-18.937,147.898,1
Sea Fans,site03,2011,,-10.321,144.081,1
Sea Fans,site04,2011,0.2345,-20.414,150.444,1
Sea Fans,site05,2011,0.3899,-13.107,143.786,1
Sea Fans,site06,2011,0.4137,-17.981,146.589,1
Sea Fans,site07,2011,,-14.383,145.043,1
Sea Fans,site08,2011,,-16.091,145.715,1
Sea Fans,site01,2012,0.3856,-11.843,143.515,1
